,CARDIO-VASCULAR_DISORDER_EVENT,DEATH_EVENT,HYPERGLYCEMIA_EVENT,HYPOGLYCEMIA_EVENT,INFECTION_EVENT,KIDNEY_COMPLICATION_EVENT,SEVERE_HYPERGLYCEMIA_EVENT,SEVERE_HYPOGLYCEMIA_EVENT
METFORMIN_HOSPITAL_BITZUA__mean,-0.0039213016,0.03421033,0.008303548,-0.013628098,0.044461235,0.0035044365,0.010977088,0.02274091
NEUTROPHILS_MEASURE__mean,-0.036090262,0.007101225,-0.0052843597,-0.010517519,0.02750103,-0.020510575,0.01902806,0.03585973
PH_MEASURE__mean,0.0125147635,0.038675986,0.025437368,-0.046373174,0.009987083,-0.03217412,0.0039035382,-0.048777524
PLT_MEASURE__mean,0.023820529,0.038513124,0.042578705,0.037673492,-0.0055338726,0.036937516,0.043777775,0.047375873
POTASSIUM_MEASURE__mean,0.015176605,-0.008111822,0.016640482,-0.06614553,-0.059353527,0.028266434,0.006901011,-0.030943725
SEVERE_HYPERGLYCEMIA_EVENT__mean,-0.0035931624,0.013472031,0.010445904,0.014301069,-0.0045992155,-0.024351493,-0.01788295,0.016982062
SEVERE_HYPOGLYCEMIA_EVENT__mean,0.025001273,-0.012639275,0.0046247104,0.01838318,0.01969888,0.00220611,2.0950925e-05,-0.024442175
SGLT2_HOME_BITZUA__mean,0.009819384,0.0049400246,-0.0017615124,-0.028772837,-0.0044620186,0.010841997,0.00419964,0.010175413
SGLT2_HOSPITAL_BITZUA__mean,-0.021041064,-0.02389887,-0.0052546603,0.010679786,-0.0010006127,-0.009110865,-0.0011709561,0.013367641
SODIUM_MEASURE__mean,0.019820655,0.030220702,0.016587622,0.0063989204,-0.015150673,-0.019800194,-0.01209323,0.010488636
STEROIDS_IV_BITZUA__mean,-0.03328207,0.01112368,0.01708198,-0.0059228307,0.06456849,0.00592084,0.047535487,-0.015823014
STEROIDS_PO_BITZUA__mean,0.013493646,-0.015212832,-0.017321585,-0.06188563,0.032738365,0.027186153,-0.020941136,-0.06552703
TROPONIN_MEASURE__mean,-0.016390733,-0.012010566,0.018078228,-0.025840268,-0.041696027,0.03127604,0.00872138,-0.06842982
UREA_MEASURE__mean,0.007922007,0.048862014,0.0027184126,0.024431074,0.005184464,-0.037003573,-0.0041646515,0.010429989
URINE_CULTURE__mean,-0.0006312727,0.01583822,-0.018022535,-0.007553721,-0.011807506,0.0064817504,0.011888449,-0.016061226
WEIGHT_MEASURE__mean,0.008646773,-0.008570894,0.0023239225,-0.019445354,0.023050917,-0.024870254,-0.013005439,-0.03065899
ADMISSION__std,0.017714554,-0.01571123,0.00013185175,-0.017077379,0.014701815,0.00027487485,0.023404753,-0.02024303
ALANINE-AMINOTRANSFERASE_MEASURE__std,-0.016977007,0.03235778,0.005214809,-0.01731074,0.115195915,0.0037198244,0.0070627066,0.0026001956
ALBUMIN_SERUM_MEASURE__std,-0.03561886,-0.047772266,-0.011471135,-0.030691294,-0.013738431,-0.04343357,-0.012636195,-0.087838136
ANTIBIOTIC_IV_BITZUA__std,0.018909018,-0.020579958,0.038136117,0.1549299,-0.133332,0.014996283,0.04185101,0.088177375
ANTIBIOTIC_PO_BITZUA__std,-0.034139626,-0.034644093,-0.014231374,-0.057615798,0.0037305523,-0.071535386,-0.01651119,-0.035252705
ANTIDIABETIC_HIGH_HYPO_HOSPITAL_BITZUA__std,-0.017910356,0.024096234,0.007405027,-0.2837114,-0.13153937,0.084038526,-0.05510255,-0.37175912
ASPARATE-AMINOTRANSFERASE_MEASURE__std,0.019519512,-0.022539396,0.03453192,0.004987844,-0.045488566,-0.0008263564,0.009024792,-0.012632338
BASAL_DOSAGE__std,-0.016114777,-0.061357487,0.021024046,0.00064792787,0.07614001,0.045898106,-0.0012241084,0.0037965204
BASAL_HOME_BITZUA__std,0.032215558,-0.007384996,0.03711657,0.0029701693,0.007950956,0.020370219,-0.013819966,0.005677635
