,CARDIO-VASCULAR_DISORDER_EVENT,DEATH_EVENT,HYPERGLYCEMIA_EVENT,HYPOGLYCEMIA_EVENT,INFECTION_EVENT,KIDNEY_COMPLICATION_EVENT,SEVERE_HYPERGLYCEMIA_EVENT,SEVERE_HYPOGLYCEMIA_EVENT
STEROIDS_IV_BITZUA__mean,-0.032220516,0.032873858,0.01493426,0.030492121,0.05399502,-0.012800903,0.029940814,-0.01471995
STEROIDS_PO_BITZUA__mean,0.011117932,-0.0024018916,-0.040136524,-0.020604668,-0.0006899632,0.017520925,-0.019891448,-0.047178607
TROPONIN_MEASURE__mean,-0.016611038,-0.0033207492,-0.012980569,-0.02432746,-0.02636069,0.026995463,0.00014397384,-0.041586004
UREA_MEASURE__mean,0.0066311294,0.058227763,-0.01942706,0.013341838,0.006802737,-0.014008298,0.0045068264,0.009557063
URINE_CULTURE__mean,-0.0006341605,-0.018044678,0.021149905,0.006644584,0.008652967,0.008783528,-0.024622936,-0.0124554895
WEIGHT_MEASURE__mean,-0.0014719096,5.8754726e-05,0.017296612,-0.032996885,0.00845262,-0.005571872,0.020524662,-0.01959963
ADMISSION__std,0.017795278,-0.024809545,0.0075336816,0.013099222,0.00026633797,-0.0074003693,0.0062413407,0.007972443
ALANINE-AMINOTRANSFERASE_MEASURE__std,-0.015378883,0.027581718,0.003399843,-0.018741203,0.08540988,0.012625671,0.0021884078,0.030834995
ALBUMIN_SERUM_MEASURE__std,-0.027594928,-0.04206209,-0.002522092,-0.04014298,-0.008705959,-0.04213879,-0.010671204,-0.08917604
ANTIBIOTIC_IV_BITZUA__std,0.019968027,-0.023941152,0.046307467,0.14314629,-0.12424758,0.021050613,0.023636214,0.048079807
ANTIBIOTIC_PO_BITZUA__std,-0.030448332,-0.03334944,-0.0068197707,-0.052130487,0.017805737,-0.07118727,-0.019755691,-0.04474182
ANTIDIABETIC_HIGH_HYPO_HOSPITAL_BITZUA__std,-0.014904531,0.018199269,0.002657995,-0.23803943,-0.105794914,0.078972615,-0.05964921,-0.3277107
ASPARATE-AMINOTRANSFERASE_MEASURE__std,0.016495991,-0.03153796,0.030370371,-0.0074960953,-0.03469968,-0.013062703,-0.00062462984,-0.00298671
BASAL_DOSAGE__std,-0.011404473,-0.041871052,0.009795609,-0.003596039,0.070903756,0.045498624,0.0072690346,-0.0017667809
BASAL_HOME_BITZUA__std,0.034190875,-0.0067396825,0.03247246,-0.0011413789,0.006964377,0.018674543,-0.012521245,0.009442068
BASE_GLUCOSE_MEASURE__std,0.017429436,-0.13180457,-0.027570255,-0.113451235,-0.12484818,-0.0075873765,0.0040882234,-0.099962346
BICARBONATE_MEASURE__std,-0.06923394,0.06815265,-0.009374588,0.05017628,0.12551443,0.024504887,-0.009282019,0.007547756
BLOOD_CULTURE__std,0.013385403,0.015910367,-0.019389672,-0.014592037,-0.018274195,0.0118806455,-0.017174335,0.02376389
BLOOD_PRESSURE_DIASTOLIC_MEASURE__std,0.021565186,-0.052040875,0.037113365,-0.011956602,-0.082133606,0.015834397,0.10558328,0.0032381536
BLOOD_PRESSURE_SYSTOLIC_MEASURE__std,-0.013321238,0.011133492,0.01716698,-0.015464009,0.13171262,-0.011930984,-0.0018894075,-0.0069618938
BMI_MEASURE__std,-0.009783992,-0.026497848,0.0064097377,0.008758006,-0.012964838,-0.0051444094,0.013932908,0.011387341
BODY_TEMPERATURE_MEASURE__std,-0.022213785,-0.11992863,0.04491938,-0.08836908,-0.15548597,0.1629673,-0.039646443,-0.088051245
BOLUS_DOSAGE__std,-0.032698963,0.04685092,0.008211732,-0.015650352,-0.069992624,0.0075738044,0.003171765,0.052193888
